Period,Fund name,ABN,Merger,Merged,Acquirer,NetAssets,MemFlowIn,MemFlowOut,InRoll,SMSFIn,SFTIn,OutRoll,SMSFOut,SFTOut,1YrRet,Merger_y,Merged_y,Acquirer_y,AvgMemBal,Fail,NetFlowsIn,NetFlowsOut,TotalFundFlows,FundOutflowRatio,Log_AvgMemBal,Lag_1YrRet,FlowRatio,NetRollIn,NetRollOut
2022-06-30,Australian Ethical Retail Superannuation Fund,49633667743.0,0.0,0.0,0,3917022.0,366522.0,59305.0,497322.0,10765,0.0,107746.0,19303,0.0,-0.085,0.0,0.0,0,59000000000.0,0.0,863844.0,167051.0,1030895.0,0.16204463112150122,10.985309671896763,0.202,863843.95735255,497322.0,107746.0
2020-06-30,Australian Meat Industry Superannuation Trust,28342064803.0,0.0,0.0,0,2317078.0,164886.0,208382.0,69860.0,2022,0.0,94987.0,3841,0.0,-0.011,0.0,0.0,0,35000000000.0,0.0,234746.0,303369.0,538115.0,0.5637623927970787,10.463131911491967,0.062,234745.8690725992,69860.0,94987.0
2021-06-30,Australian Meat Industry Superannuation Trust,28342064803.0,0.0,0.0,0,2216356.0,156190.0,170363.0,33475.0,640,0.0,61533.0,6042,0.0,0.158,0.0,0.0,0,41000000000.0,0.0,189665.0,231896.0,421561.0,0.5500888364910417,10.62135173563291,-0.011,189664.89537059932,33475.0,61533.0
2022-06-30,Australian Meat Industry Superannuation Trust,28342064803.0,0.0,0.0,0,2513818.0,183133.0,71704.0,30382.0,557,0.0,83737.0,7126,0.0,-0.011,0.0,0.0,0,40000000000.0,0.0,213515.0,155441.0,368956.0,0.4212995587549735,10.596659732783579,0.158,213514.93816537235,30382.0,83737.0
2020-06-30,Australian Retirement Trust,60905115063.0,0.0,0.0,0,113328933.0,6393785.0,4158798.0,3285444.0,350360.0,0.0,1400821.0,270260.0,0.0,-0.009531875930685763,0.0,0.0,0,182000000000.0,0.0,9679229.0,5559619.0,15238848.0,0.36483197417547575,12.111767460549332,0.0937355219345911,9679228.950942634,3285444.0,1400821.0
2021-06-30,Australian Retirement Trust,60905115063.0,0.0,0.0,0,116998948.0,6644336.0,3917909.0,2298610.0,266604.0,0.0,1438645.0,307900.0,0.0,0.136,0.0,0.0,0,199000000000.0,0.0,8942946.0,5356554.0,14299500.0,0.3745972936116647,12.201065128819632,-0.009531875930685763,8942945.954217076,2298610.0,1438645.0
2022-06-30,Australian Retirement Trust,60905115063.0,1.0,0.0,0,132912715.0,10351778.0,4783427.0,108204175.0,326406.0,104788452.0,2670233.0,490182.0,0.0,-0.047,1.0,0.0,0,101000000000.0,0.0,13767501.0,7453660.0,21221161.0,0.3512371448480128,11.522885696764481,0.136,13767500.94392064,3415723.0,2670233.0
2020-06-30,AustralianSuper,65714394898.0,0.0,0.0,0,166784468.0,10746033.0,7242353.0,15518874.0,1041171.0,332057.0,3437835.0,601054.0,0.0,0.002,0.0,0.0,0,77000000000.0,0.0,25932850.0,10680188.0,36613038.0,0.29170450154942074,11.251573687764477,0.084,25932849.935964134,15186817.0,3437835.0
2021-06-30,AustralianSuper,65714394898.0,0.0,0.0,0,182378081.0,12504049.0,7166105.0,12489219.0,833374.0,0.0,3094653.0,737444.0,0.0,0.19,0.0,0.0,0,94000000000.0,0.0,24993268.0,10260758.0,35254026.0,0.29105209146892896,11.451060699493427,0.002,24993267.943739083,12489219.0,3094653.0
2022-06-30,AustralianSuper,65714394898.0,1.0,0.0,0,232762273.0,16274005.0,6082130.0,29195082.0,1471339.0,9950081.0,3841176.0,910926.0,0.0,-0.036,1.0,0.0,0,90000000000.0,0.0,35519006.0,9923306.0,45442312.0,0.21837150363300178,11.407576060361786,0.19,35519005.957367204,19245001.0,3841176.0
2020-06-30,AvSuper Fund,84421446069.0,0.0,0.0,0,2451908.0,64023.0,57652.0,25373.0,0,0.0,59728.0,4236,0.0,-0.014,0.0,0.0,0,347000000000.0,0.0,89396.0,117380.0,206776.0,0.5676674275544551,12.757082940769225,0.053,89395.95212707818,25373.0,59728.0
2021-06-30,AvSuper Fund,84421446069.0,0.0,0.0,0,2389691.0,65028.0,61015.0,18106.0,0,0.0,64203.0,5314,0.0,0.148,0.0,0.0,0,360000000000.0,0.0,83134.0,125218.0,208352.0,0.6009925510674243,12.793862088206213,-0.014,83133.94760075676,18106.0,64203.0
2022-06-30,AvSuper Fund,84421446069.0,0.0,0.0,0,2697835.0,69459.0,67293.0,11858.0,0,0.0,289106.0,20570,0.0,-0.037,0.0,0.0,0,356000000000.0,1.0,81317.0,356399.0,437716.0,0.814224291549772,12.782688818818986,0.148,81316.86789444128,11858.0,289106.0
2020-06-30,AvWrap Retirement Service,82004832237.0,0.0,0.0,0,436240.0,10328.0,25918.0,17936.0,2883,0.0,79724.0,3364,0.0,-0.019,0.0,0.0,0,325000000000.0,0.0,28264.0,105642.0,133906.0,0.7889265604229833,12.691583538230217,0.061,28263.75783513662,17936.0,79724.0
